Genero,Etnia,Nivel educativo de los padres,Examen de preparacion,Matematicas,Lectura,Escritura
Femenino,Grupo B,"Licenciatura, Ingenieria",No realizado,72,72,74
Femenino,Grupo C,"Educacion Superior, no titulado",Completado,69,90,88
Femenino,Grupo B,Maestria,No realizado,90,95,93
Masculino,Grupo A,Preparatoria,No realizado,47,57,44
Masculino,Grupo C,"Educacion Superior, no titulado",No realizado,76,78,75
Femenino,Grupo B,Preparatoria,No realizado,71,83,78
Femenino,Grupo B,"Educacion Superior, no titulado",Completado,88,95,92
Masculino,Grupo B,"Educacion Superior, no titulado",No realizado,40,43,39
Masculino,Grupo D,Secundaria,Completado,64,64,67
Femenino,Grupo B,Secundaria,No realizado,38,60,50
Masculino,Grupo C,Preparatoria,No realizado,58,54,52
Masculino,Grupo D,Preparatoria,No realizado,40,52,43
Femenino,Grupo B,Secundaria,No realizado,65,81,73
Masculino,Grupo A,"Educacion Superior, no titulado",Completado,78,72,70
Femenino,Grupo A,Maestria,No realizado,50,53,58
Femenino,Grupo C,Secundaria,No realizado,69,75,78
Masculino,Grupo C,Secundaria,No realizado,88,89,86
Femenino,Grupo B,Secundaria,No realizado,18,32,28
Masculino,Grupo C,Maestria,Completado,46,42,46
Femenino,Grupo C,Preparatoria,No realizado,54,58,61
Masculino,Grupo D,Secundaria,No realizado,66,69,63
Femenino,Grupo B,"Educacion Superior, no titulado",Completado,65,75,70
Masculino,Grupo D,"Educacion Superior, no titulado",No realizado,44,54,53
Femenino,Grupo C,Secundaria,No realizado,69,73,73
Masculino,Grupo D,"Licenciatura, Ingenieria",Completado,74,71,80
Masculino,Grupo A,Maestria,No realizado,73,74,72
Masculino,Grupo B,"Educacion Superior, no titulado",No realizado,69,54,55
Femenino,Grupo C,"Licenciatura, Ingenieria",No realizado,67,69,75
Masculino,Grupo C,Secundaria,No realizado,70,70,65
Femenino,Grupo D,Maestria,No realizado,62,70,75
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,69,74,74
Femenino,Grupo B,"Educacion Superior, no titulado",No realizado,63,65,61
Femenino,Grupo E,Maestria,No realizado,56,72,65
Masculino,Grupo D,"Educacion Superior, no titulado",No realizado,40,42,38
Masculino,Grupo E,"Educacion Superior, no titulado",No realizado,97,87,82
Masculino,Grupo E,Preparatoria,Completado,81,81,79
Femenino,Grupo D,Preparatoria,No realizado,74,81,83
Femenino,Grupo D,Secundaria,No realizado,50,64,59
Femenino,Grupo D,Preparatoria,Completado,75,90,88
Masculino,Grupo B,Preparatoria,No realizado,57,56,57
Masculino,Grupo C,Preparatoria,No realizado,55,61,54
Femenino,Grupo C,Preparatoria,No realizado,58,73,68
Femenino,Grupo B,Preparatoria,No realizado,53,58,65
Masculino,Grupo B,"Educacion Superior, no titulado",Completado,59,65,66
Femenino,Grupo E,Preparatoria,No realizado,50,56,54
Masculino,Grupo B,Preparatoria,No realizado,65,54,57
Femenino,Grupo A,Preparatoria,Completado,55,65,62
Femenino,Grupo C,Secundaria,No realizado,66,71,76
Femenino,Grupo D,Preparatoria,Completado,57,74,76
Masculino,Grupo C,Secundaria,Completado,82,84,82
Masculino,Grupo E,"Educacion Superior, no titulado",No realizado,53,55,48
Masculino,Grupo E,Preparatoria,Completado,77,69,68
Masculino,Grupo C,"Educacion Superior, no titulado",No realizado,53,44,42
Masculino,Grupo D,Secundaria,No realizado,88,78,75
Femenino,Grupo C,Secundaria,Completado,71,84,87
Femenino,Grupo C,Secundaria,No realizado,33,41,43
Femenino,Grupo E,Preparatoria,Completado,82,85,86
Masculino,Grupo D,Preparatoria,No realizado,52,55,49
Masculino,Grupo D,"Educacion Superior, no titulado",Completado,58,59,58
Femenino,Grupo C,Secundaria,No realizado,0,17,10
Masculino,Grupo E,"Licenciatura, Ingenieria",Completado,79,74,72
Masculino,Grupo A,Secundaria,No realizado,39,39,34
Masculino,Grupo A,Preparatoria,No realizado,62,61,55
Femenino,Grupo C,Preparatoria,No realizado,69,80,71
Femenino,Grupo D,Secundaria,No realizado,59,58,59
Masculino,Grupo B,Secundaria,No realizado,67,64,61
Masculino,Grupo D,Secundaria,No realizado,45,37,37
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,60,72,74
Masculino,Grupo B,Preparatoria,No realizado,61,58,56
Femenino,Grupo C,Preparatoria,No realizado,39,64,57
Femenino,Grupo D,"Educacion Superior, no titulado",Completado,58,63,73
Masculino,Grupo D,"Educacion Superior, no titulado",Completado,63,55,63
Femenino,Grupo A,Preparatoria,No realizado,41,51,48
Masculino,Grupo C,Secundaria,No realizado,61,57,56
Masculino,Grupo C,Secundaria,No realizado,49,49,41
Masculino,Grupo B,Preparatoria,No realizado,44,41,38
Masculino,Grupo E,Secundaria,No realizado,30,26,22
Masculino,Grupo A,"Licenciatura, Ingenieria",Completado,80,78,81
Femenino,Grupo D,Secundaria,Completado,61,74,72
Femenino,Grupo E,Maestria,No realizado,62,68,68
Femenino,Grupo B,Preparatoria,No realizado,47,49,50
Masculino,Grupo B,Secundaria,No realizado,49,45,45
Masculino,Grupo A,"Educacion Superior, no titulado",Completado,50,47,54
Masculino,Grupo E,Preparatoria,No realizado,72,64,63
Masculino,Grupo D,Secundaria,No realizado,42,39,34
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,73,80,82
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,76,83,88
Femenino,Grupo D,Preparatoria,No realizado,71,71,74
Femenino,Grupo A,"Educacion Superior, no titulado",No realizado,58,70,67
Femenino,Grupo D,Secundaria,No realizado,73,86,82
Femenino,Grupo C,"Licenciatura, Ingenieria",No realizado,65,72,74
Masculino,Grupo C,Secundaria,No realizado,27,34,36
Masculino,Grupo C,Secundaria,No realizado,71,79,71
Masculino,Grupo C,Preparatoria,Completado,43,45,50
Femenino,Grupo B,"Educacion Superior, no titulado",No realizado,79,86,92
Masculino,Grupo C,Preparatoria,Completado,78,81,82
Masculino,Grupo B,Secundaria,Completado,65,66,62
Femenino,Grupo E,"Educacion Superior, no titulado",Completado,63,72,70
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,58,67,62
Femenino,Grupo D,"Licenciatura, Ingenieria",No realizado,65,67,62
Masculino,Grupo B,"Educacion Superior, no titulado",No realizado,79,67,67
Masculino,Grupo D,"Licenciatura, Ingenieria",Completado,68,74,74
Femenino,Grupo D,Preparatoria,No realizado,85,91,89
Masculino,Grupo B,Secundaria,Completado,60,44,47
Masculino,Grupo C,"Educacion Superior, no titulado",Completado,98,86,90
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,58,67,72
Femenino,Grupo D,Maestria,No realizado,87,100,100
Masculino,Grupo E,Preparatoria,Completado,66,63,64
Femenino,Grupo B,Preparatoria,No realizado,52,76,70
Femenino,Grupo B,Secundaria,No realizado,70,64,72
Femenino,Grupo D,Preparatoria,Completado,77,89,98
Masculino,Grupo C,Secundaria,No realizado,62,55,49
Masculino,Grupo A,Preparatoria,No realizado,54,53,47
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,51,58,54
Femenino,Grupo E,"Licenciatura, Ingenieria",Completado,99,100,100
Masculino,Grupo C,Secundaria,No realizado,84,77,74
Femenino,Grupo B,"Licenciatura, Ingenieria",No realizado,75,85,82
Femenino,Grupo D,"Licenciatura, Ingenieria",No realizado,78,82,79
Femenino,Grupo D,Secundaria,No realizado,51,63,61
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,55,69,65
Femenino,Grupo C,"Licenciatura, Ingenieria",Completado,79,92,89
Masculino,Grupo B,Preparatoria,Completado,91,89,92
Femenino,Grupo C,"Educacion Superior, no titulado",Completado,88,93,93
Masculino,Grupo D,Secundaria,No realizado,63,57,56
Masculino,Grupo E,"Educacion Superior, no titulado",No realizado,83,80,73
Femenino,Grupo B,Secundaria,No realizado,87,95,86
Masculino,Grupo B,Secundaria,No realizado,72,68,67
Masculino,Grupo D,"Educacion Superior, no titulado",Completado,65,77,74
Masculino,Grupo D,Maestria,No realizado,82,82,74
Femenino,Grupo A,"Licenciatura, Ingenieria",No realizado,51,49,51
Masculino,Grupo D,Maestria,No realizado,89,84,82
Masculino,Grupo C,Secundaria,Completado,53,37,40
Masculino,Grupo E,"Educacion Superior, no titulado",Completado,87,74,70
Femenino,Grupo C,"Educacion Superior, no titulado",Completado,75,81,84
Masculino,Grupo D,"Licenciatura, Ingenieria",Completado,74,79,75
Masculino,Grupo C,"Licenciatura, Ingenieria",No realizado,58,55,48
Masculino,Grupo B,Secundaria,Completado,51,54,41
Masculino,Grupo E,Secundaria,No realizado,70,55,56
Femenino,Grupo C,Preparatoria,No realizado,59,66,67
Masculino,Grupo D,"Educacion Superior, no titulado",Completado,71,61,69
Femenino,Grupo D,Secundaria,No realizado,76,72,71
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,59,62,64
Femenino,Grupo E,"Educacion Superior, no titulado",Completado,42,55,54
Masculino,Grupo A,Secundaria,No realizado,57,43,47
Masculino,Grupo D,"Educacion Superior, no titulado",No realizado,88,73,78
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,22,39,33
Masculino,Grupo B,Secundaria,No realizado,88,84,75
Masculino,Grupo C,Preparatoria,No realizado,73,68,66
Femenino,Grupo D,"Licenciatura, Ingenieria",Completado,68,75,81
Masculino,Grupo E,Preparatoria,Completado,100,100,93
Masculino,Grupo A,Secundaria,Completado,62,67,69
Masculino,Grupo A,"Licenciatura, Ingenieria",No realizado,77,67,68
Femenino,Grupo B,Preparatoria,Completado,59,70,66
Masculino,Grupo D,"Licenciatura, Ingenieria",No realizado,54,49,47
Masculino,Grupo D,Secundaria,No realizado,62,67,61
Femenino,Grupo C,"Educacion Superior, no titulado",Completado,70,89,88
Femenino,Grupo E,Secundaria,Completado,66,74,78
Masculino,Grupo B,"Educacion Superior, no titulado",No realizado,60,60,60
Femenino,Grupo B,Preparatoria,Completado,61,86,87
Masculino,Grupo D,Preparatoria,No realizado,66,62,64
Masculino,Grupo B,Preparatoria,Completado,82,78,74
Femenino,Grupo E,"Educacion Superior, no titulado",Completado,75,88,85
Masculino,Grupo B,Maestria,No realizado,49,53,52
Masculino,Grupo C,Secundaria,No realizado,52,53,49
Femenino,Grupo E,Maestria,No realizado,81,92,91
Femenino,Grupo C,"Licenciatura, Ingenieria",Completado,96,100,100
Masculino,Grupo C,Secundaria,Completado,53,51,51
Femenino,Grupo B,Maestria,Completado,58,76,78
Femenino,Grupo B,Secundaria,Completado,68,83,78
Femenino,Grupo C,"Educacion Superior, no titulado",Completado,67,75,70
Masculino,Grupo A,Secundaria,Completado,72,73,74
Masculino,Grupo E,Secundaria,No realizado,94,88,78
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,79,86,81
Femenino,Grupo C,Preparatoria,No realizado,63,67,70
Femenino,Grupo C,"Licenciatura, Ingenieria",Completado,43,51,54
Femenino,Grupo C,Maestria,Completado,81,91,87
Femenino,Grupo B,Secundaria,Completado,46,54,58
Femenino,Grupo C,Preparatoria,Completado,71,77,77
Femenino,Grupo B,Maestria,Completado,52,70,62
Femenino,Grupo D,Secundaria,Completado,97,100,100
Masculino,Grupo C,Maestria,Completado,62,68,75
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,46,64,66
Femenino,Grupo E,Secundaria,No realizado,50,50,47
Femenino,Grupo D,Preparatoria,No realizado,65,69,70
Masculino,Grupo C,Secundaria,Completado,45,52,49
Masculino,Grupo C,Preparatoria,Completado,65,67,65
Masculino,Grupo E,Secundaria,No realizado,80,76,65
Masculino,Grupo D,Secundaria,Completado,62,66,68
Masculino,Grupo B,Secundaria,No realizado,48,52,45
Femenino,Grupo C,"Licenciatura, Ingenieria",No realizado,77,88,87
Femenino,Grupo E,Preparatoria,No realizado,66,65,69
Masculino,Grupo D,"Educacion Superior, no titulado",Completado,76,83,79
Femenino,Grupo B,Secundaria,No realizado,62,64,66
Masculino,Grupo D,"Educacion Superior, no titulado",Completado,77,62,62
Femenino,Grupo C,Maestria,Completado,69,84,85
Masculino,Grupo D,Preparatoria,No realizado,61,55,52
Masculino,Grupo C,Secundaria,Completado,59,69,65
Masculino,Grupo E,Secundaria,No realizado,55,56,51
Femenino,Grupo B,"Educacion Superior, no titulado",No realizado,45,53,55
Femenino,Grupo B,"Licenciatura, Ingenieria",No realizado,78,79,76
Femenino,Grupo C,Preparatoria,Completado,67,84,86
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,65,81,77
Masculino,Grupo C,Preparatoria,No realizado,69,77,69
Femenino,Grupo B,Preparatoria,No realizado,57,69,68
Masculino,Grupo C,"Educacion Superior, no titulado",No realizado,59,41,42
Masculino,Grupo D,Secundaria,Completado,74,71,78
Masculino,Grupo E,"Licenciatura, Ingenieria",No realizado,82,62,62
Masculino,Grupo E,Secundaria,Completado,81,80,76
Femenino,Grupo B,"Educacion Superior, no titulado",No realizado,74,81,76
Femenino,Grupo B,"Educacion Superior, no titulado",No realizado,58,61,66
Masculino,Grupo D,Secundaria,Completado,80,79,79
Masculino,Grupo C,"Educacion Superior, no titulado",No realizado,35,28,27
Femenino,Grupo C,Secundaria,No realizado,42,62,60
Masculino,Grupo C,Preparatoria,Completado,60,51,56
Masculino,Grupo E,Secundaria,Completado,87,91,81
Masculino,Grupo B,Secundaria,Completado,84,83,75
Femenino,Grupo E,Preparatoria,Completado,83,86,88
Femenino,Grupo C,Secundaria,No realizado,34,42,39
Masculino,Grupo B,Secundaria,No realizado,66,77,70
Masculino,Grupo B,Secundaria,Completado,61,56,56
Femenino,Grupo D,Secundaria,Completado,56,68,74
Masculino,Grupo B,Preparatoria,No realizado,87,85,73
Femenino,Grupo C,Secundaria,No realizado,55,65,62
Masculino,Grupo D,Secundaria,No realizado,86,80,75
Femenino,Grupo B,Preparatoria,Completado,52,66,73
Femenino,Grupo E,Maestria,No realizado,45,56,54
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,72,72,71
Masculino,Grupo D,Secundaria,No realizado,57,50,54
Masculino,Grupo A,Secundaria,No realizado,68,72,64
Femenino,Grupo C,"Educacion Superior, no titulado",Completado,88,95,94
Masculino,Grupo D,"Educacion Superior, no titulado",No realizado,76,64,66
Masculino,Grupo C,Preparatoria,No realizado,46,43,42
Femenino,Grupo B,"Licenciatura, Ingenieria",No realizado,67,86,83
Masculino,Grupo E,Secundaria,No realizado,92,87,78
Masculino,Grupo C,"Licenciatura, Ingenieria",Completado,83,82,84
Masculino,Grupo D,Preparatoria,No realizado,80,75,77
Masculino,Grupo D,"Licenciatura, Ingenieria",No realizado,63,66,67
Femenino,Grupo D,Secundaria,Completado,64,60,74
Masculino,Grupo B,"Educacion Superior, no titulado",No realizado,54,52,51
Masculino,Grupo C,Preparatoria,No realizado,84,80,80
Masculino,Grupo D,Secundaria,Completado,73,68,66
Femenino,Grupo E,"Licenciatura, Ingenieria",No realizado,80,83,83
Femenino,Grupo D,Secundaria,No realizado,56,52,55
Masculino,Grupo E,"Educacion Superior, no titulado",No realizado,59,51,43
Masculino,Grupo D,Secundaria,No realizado,75,74,69
Masculino,Grupo C,Preparatoria,No realizado,85,76,71
Masculino,Grupo E,Preparatoria,No realizado,89,76,74
Femenino,Grupo B,Secundaria,Completado,58,70,68
Femenino,Grupo B,Secundaria,No realizado,65,64,62
Masculino,Grupo C,Secundaria,No realizado,68,60,53
Masculino,Grupo A,Secundaria,Completado,47,49,49
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,71,83,83
Femenino,Grupo B,Secundaria,Completado,60,70,70
Masculino,Grupo D,Maestria,No realizado,80,80,72
Masculino,Grupo D,Secundaria,No realizado,54,52,52
Femenino,Grupo E,"Educacion Superior, no titulado",No realizado,62,73,70
Femenino,Grupo C,Preparatoria,No realizado,64,73,68
Masculino,Grupo C,Preparatoria,Completado,78,77,77
Femenino,Grupo B,"Educacion Superior, no titulado",No realizado,70,75,78
Femenino,Grupo C,Maestria,Completado,65,81,81
Femenino,Grupo C,Secundaria,Completado,64,79,77
Masculino,Grupo C,"Educacion Superior, no titulado",Completado,79,79,78
Femenino,Grupo C,Secundaria,No realizado,44,50,51
Femenino,Grupo E,Secundaria,No realizado,99,93,90
Masculino,Grupo D,Secundaria,No realizado,76,73,68
Masculino,Grupo D,Secundaria,No realizado,59,42,41
Femenino,Grupo C,"Licenciatura, Ingenieria",No realizado,63,75,81
Femenino,Grupo D,Secundaria,No realizado,69,72,77
Femenino,Grupo D,Preparatoria,Completado,88,92,95
Femenino,Grupo E,"Educacion Superior, no titulado",No realizado,71,76,70
Masculino,Grupo C,"Licenciatura, Ingenieria",No realizado,69,63,61
Masculino,Grupo C,"Educacion Superior, no titulado",No realizado,58,49,42
Femenino,Grupo D,Preparatoria,No realizado,47,53,58
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,65,70,71
Masculino,Grupo B,"Educacion Superior, no titulado",Completado,88,85,76
Masculino,Grupo C,"Licenciatura, Ingenieria",No realizado,83,78,73
Femenino,Grupo C,Secundaria,Completado,85,92,93
Femenino,Grupo E,Secundaria,Completado,59,63,75
Femenino,Grupo C,Secundaria,No realizado,65,86,80
Masculino,Grupo B,"Licenciatura, Ingenieria",No realizado,73,56,57
Masculino,Grupo D,Secundaria,No realizado,53,52,42
Masculino,Grupo D,Secundaria,No realizado,45,48,46
Femenino,Grupo D,"Licenciatura, Ingenieria",No realizado,73,79,84
Femenino,Grupo D,"Educacion Superior, no titulado",Completado,70,78,78
Femenino,Grupo B,Secundaria,No realizado,37,46,46
Masculino,Grupo B,Preparatoria,Completado,81,82,82
Masculino,Grupo E,Preparatoria,Completado,97,82,88
Femenino,Grupo B,Secundaria,No realizado,67,89,82
Masculino,Grupo B,"Licenciatura, Ingenieria",No realizado,88,75,76
Masculino,Grupo E,Secundaria,Completado,77,76,77
Masculino,Grupo C,Preparatoria,No realizado,76,70,68
Masculino,Grupo D,Secundaria,No realizado,86,73,70
Masculino,Grupo C,Secundaria,Completado,63,60,57
Femenino,Grupo E,"Licenciatura, Ingenieria",No realizado,65,73,75
Masculino,Grupo D,Secundaria,Completado,78,77,80
Masculino,Grupo B,Preparatoria,No realizado,67,62,60
Masculino,Grupo A,Secundaria,Completado,46,41,43
Masculino,Grupo E,Preparatoria,Completado,71,74,68
Masculino,Grupo C,Secundaria,Completado,40,46,50
Masculino,Grupo D,Preparatoria,No realizado,90,87,75
Masculino,Grupo A,"Educacion Superior, no titulado",Completado,81,78,81
Masculino,Grupo D,Secundaria,No realizado,56,54,52
Femenino,Grupo C,Preparatoria,Completado,67,84,81
Masculino,Grupo B,Preparatoria,No realizado,80,76,64
Femenino,Grupo C,Preparatoria,Completado,74,75,83
Masculino,Grupo A,"Educacion Superior, no titulado",No realizado,69,67,69
Masculino,Grupo E,"Educacion Superior, no titulado",Completado,99,87,81
Masculino,Grupo C,Secundaria,No realizado,51,52,44
Femenino,Grupo B,Preparatoria,No realizado,53,71,67
Femenino,Grupo D,Secundaria,No realizado,49,57,52
Femenino,Grupo B,Preparatoria,No realizado,73,76,80
Masculino,Grupo B,"Licenciatura, Ingenieria",No realizado,66,60,57
Masculino,Grupo D,"Licenciatura, Ingenieria",Completado,67,61,68
Femenino,Grupo C,Preparatoria,Completado,68,67,69
Femenino,Grupo C,"Licenciatura, Ingenieria",Completado,59,64,75
Masculino,Grupo C,Secundaria,No realizado,71,66,65
Femenino,Grupo D,Maestria,Completado,77,82,91
Masculino,Grupo C,Preparatoria,No realizado,83,72,78
Masculino,Grupo B,"Licenciatura, Ingenieria",No realizado,63,71,69
Femenino,Grupo D,Preparatoria,No realizado,56,65,63
Femenino,Grupo C,Secundaria,Completado,67,79,84
Femenino,Grupo E,Secundaria,No realizado,75,86,79
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,71,81,80
Femenino,Grupo C,Secundaria,No realizado,43,53,53
Femenino,Grupo C,Secundaria,No realizado,41,46,43
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,82,90,94
Masculino,Grupo C,"Educacion Superior, no titulado",No realizado,61,61,62
Masculino,Grupo A,"Educacion Superior, no titulado",No realizado,28,23,19
Masculino,Grupo C,Preparatoria,Completado,82,75,77
Femenino,Grupo B,Secundaria,No realizado,41,55,51
Masculino,Grupo C,Secundaria,No realizado,71,60,61
