Genero,Etnia,Nivel educativo de los padres,Examen de preparacion,Matematicas,Lectura,Escritura
Femenino,Grupo C,Secundaria,Completado,50,60,60
Femenino,Grupo C,"Educacion Superior, no titulado",Completado,63,73,71
Femenino,Grupo B,"Licenciatura, Ingenieria",No realizado,77,85,87
Masculino,Grupo C,"Educacion Superior, no titulado",No realizado,73,74,61
Masculino,Grupo D,Preparatoria,Completado,81,72,77
Femenino,Grupo C,Secundaria,No realizado,66,76,68
Masculino,Grupo D,Preparatoria,No realizado,52,57,50
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,69,78,76
Femenino,Grupo C,Preparatoria,Completado,65,84,84
Femenino,Grupo D,Secundaria,Completado,69,77,78
Femenino,Grupo B,"Educacion Superior, no titulado",Completado,50,64,66
Femenino,Grupo E,"Educacion Superior, no titulado",Completado,73,78,76
Femenino,Grupo C,Secundaria,Completado,70,82,76
Masculino,Grupo D,Preparatoria,No realizado,81,75,78
Masculino,Grupo D,"Educacion Superior, no titulado",No realizado,63,61,60
Femenino,Grupo D,Secundaria,No realizado,67,72,74
Masculino,Grupo B,Secundaria,No realizado,60,68,60
Masculino,Grupo B,Secundaria,No realizado,62,55,54
Femenino,Grupo C,Secundaria,Completado,29,40,44
Masculino,Grupo B,"Educacion Superior, no titulado",Completado,62,66,68
Femenino,Grupo E,Maestria,Completado,94,99,100
Masculino,Grupo E,"Educacion Superior, no titulado",Completado,85,75,68
Masculino,Grupo D,Preparatoria,No realizado,77,78,73
Masculino,Grupo A,Secundaria,No realizado,53,58,44
Masculino,Grupo E,"Educacion Superior, no titulado",No realizado,93,90,83
Femenino,Grupo C,Preparatoria,No realizado,49,53,53
Femenino,Grupo E,Preparatoria,No realizado,73,76,78
Femenino,Grupo C,"Licenciatura, Ingenieria",Completado,66,74,81
Femenino,Grupo D,Preparatoria,No realizado,77,77,73
Femenino,Grupo C,Secundaria,No realizado,49,63,56
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,79,89,86
Femenino,Grupo C,Preparatoria,Completado,75,82,90
Femenino,Grupo A,"Licenciatura, Ingenieria",No realizado,59,72,70
Femenino,Grupo D,Preparatoria,Completado,57,78,79
Masculino,Grupo C,Secundaria,No realizado,66,66,59
Femenino,Grupo E,"Licenciatura, Ingenieria",Completado,79,81,82
Femenino,Grupo B,Secundaria,No realizado,57,67,72
Masculino,Grupo A,"Licenciatura, Ingenieria",Completado,87,84,87
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,63,64,67
Femenino,Grupo B,Secundaria,Completado,59,63,64
Masculino,Grupo A,"Licenciatura, Ingenieria",No realizado,62,72,65
Masculino,Grupo D,Secundaria,No realizado,46,34,36
Masculino,Grupo C,"Educacion Superior, no titulado",No realizado,66,59,52
Masculino,Grupo D,Secundaria,No realizado,89,87,79
Femenino,Grupo D,Preparatoria,Completado,42,61,58
Masculino,Grupo C,"Educacion Superior, no titulado",Completado,93,84,90
Femenino,Grupo E,Secundaria,Completado,80,85,85
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,98,100,99
Masculino,Grupo D,Maestria,No realizado,81,81,84
Femenino,Grupo B,Secundaria,Completado,60,70,74
Femenino,Grupo B,Preparatoria,Completado,76,94,87
Masculino,Grupo C,Preparatoria,Completado,73,78,72
Femenino,Grupo C,Preparatoria,Completado,96,96,99
Femenino,Grupo C,Secundaria,No realizado,76,76,74
Masculino,Grupo E,Preparatoria,Completado,91,73,80
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,62,72,70
Masculino,Grupo D,Secundaria,Completado,55,59,59
Femenino,Grupo B,Secundaria,Completado,74,90,88
Masculino,Grupo C,Secundaria,No realizado,50,48,42
Masculino,Grupo B,"Educacion Superior, no titulado",No realizado,47,43,41
Masculino,Grupo E,"Educacion Superior, no titulado",Completado,81,74,71
Femenino,Grupo E,Preparatoria,Completado,65,75,77
Masculino,Grupo E,Secundaria,Completado,68,51,57
Femenino,Grupo D,Secundaria,No realizado,73,92,84
Masculino,Grupo C,"Educacion Superior, no titulado",No realizado,53,39,37
Femenino,Grupo B,Preparatoria,Completado,68,77,80
Masculino,Grupo A,Secundaria,No realizado,55,46,43
Femenino,Grupo C,"Educacion Superior, no titulado",Completado,87,89,94
Masculino,Grupo D,Secundaria,No realizado,55,47,44
Femenino,Grupo E,"Educacion Superior, no titulado",No realizado,53,58,57
Masculino,Grupo C,Maestria,No realizado,67,57,59
Masculino,Grupo C,Preparatoria,No realizado,92,79,84
Femenino,Grupo B,"Educacion Superior, no titulado",Completado,53,66,73
Masculino,Grupo D,Preparatoria,No realizado,81,71,73
Masculino,Grupo C,Secundaria,No realizado,61,60,55
Masculino,Grupo D,"Licenciatura, Ingenieria",No realizado,80,73,72
Femenino,Grupo A,Preparatoria,No realizado,37,57,56
Femenino,Grupo C,Secundaria,No realizado,81,84,82
Femenino,Grupo C,Preparatoria,Completado,59,73,72
Masculino,Grupo B,"Educacion Superior, no titulado",No realizado,55,55,47
Masculino,Grupo D,Preparatoria,No realizado,72,79,74
Masculino,Grupo D,Secundaria,No realizado,69,75,71
Masculino,Grupo C,"Educacion Superior, no titulado",No realizado,69,64,68
Femenino,Grupo C,"Licenciatura, Ingenieria",No realizado,50,60,59
Masculino,Grupo B,"Educacion Superior, no titulado",Completado,87,84,86
Masculino,Grupo D,Secundaria,Completado,71,69,68
Masculino,Grupo E,"Educacion Superior, no titulado",No realizado,68,72,65
Masculino,Grupo C,Maestria,Completado,79,77,75
Femenino,Grupo C,Secundaria,Completado,77,90,85
Masculino,Grupo C,Preparatoria,No realizado,58,55,53
Femenino,Grupo E,Preparatoria,No realizado,84,95,92
Masculino,Grupo D,"Educacion Superior, no titulado",No realizado,55,58,52
Masculino,Grupo E,"Licenciatura, Ingenieria",Completado,70,68,72
Femenino,Grupo D,"Educacion Superior, no titulado",Completado,52,59,65
Masculino,Grupo B,"Educacion Superior, no titulado",Completado,69,77,77
Femenino,Grupo C,Secundaria,No realizado,53,72,64
Femenino,Grupo D,Secundaria,No realizado,48,58,54
Masculino,Grupo D,Secundaria,Completado,78,81,86
Femenino,Grupo B,Secundaria,No realizado,62,62,63
Masculino,Grupo D,"Educacion Superior, no titulado",No realizado,60,63,59
Femenino,Grupo B,Secundaria,No realizado,74,72,72
Femenino,Grupo C,Secundaria,Completado,58,75,77
Masculino,Grupo B,Secundaria,Completado,76,62,60
Femenino,Grupo D,Secundaria,No realizado,68,71,75
Masculino,Grupo A,"Educacion Superior, no titulado",No realizado,58,60,57
Masculino,Grupo B,Secundaria,No realizado,52,48,49
Masculino,Grupo D,"Licenciatura, Ingenieria",No realizado,75,73,74
Femenino,Grupo B,Secundaria,Completado,52,67,72
Femenino,Grupo C,"Licenciatura, Ingenieria",No realizado,62,78,79
Masculino,Grupo B,"Educacion Superior, no titulado",No realizado,66,65,60
Femenino,Grupo B,Secundaria,No realizado,49,58,55
Femenino,Grupo B,Secundaria,No realizado,66,72,70
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,35,44,43
Femenino,Grupo A,"Educacion Superior, no titulado",Completado,72,79,82
Masculino,Grupo E,Preparatoria,Completado,94,85,82
Femenino,Grupo D,Preparatoria,No realizado,46,56,57
Femenino,Grupo B,Maestria,No realizado,77,90,84
Femenino,Grupo B,Secundaria,Completado,76,85,82
Femenino,Grupo C,Preparatoria,Completado,52,59,62
Masculino,Grupo C,"Licenciatura, Ingenieria",Completado,91,81,79
Femenino,Grupo B,Secundaria,Completado,32,51,44
Femenino,Grupo E,Secundaria,No realizado,72,79,77
Femenino,Grupo B,"Educacion Superior, no titulado",No realizado,19,38,32
Masculino,Grupo C,Preparatoria,No realizado,68,65,61
Femenino,Grupo C,Maestria,No realizado,52,65,61
Femenino,Grupo B,Secundaria,No realizado,48,62,60
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,60,66,70
Masculino,Grupo D,Secundaria,No realizado,66,74,69
Masculino,Grupo E,Secundaria,Completado,89,84,77
Femenino,Grupo B,Secundaria,No realizado,42,52,51
Femenino,Grupo E,Preparatoria,Completado,57,68,73
Masculino,Grupo D,Secundaria,No realizado,70,70,70
Femenino,Grupo E,Preparatoria,No realizado,70,84,81
Masculino,Grupo E,"Educacion Superior, no titulado",No realizado,69,60,54
Femenino,Grupo C,Preparatoria,No realizado,52,55,57
Masculino,Grupo C,Secundaria,Completado,67,73,68
Masculino,Grupo C,Secundaria,Completado,76,80,73
Femenino,Grupo E,Preparatoria,No realizado,87,94,95
Femenino,Grupo B,"Educacion Superior, no titulado",No realizado,82,85,87
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,73,76,78
Masculino,Grupo A,"Educacion Superior, no titulado",No realizado,75,81,74
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,64,74,75
Femenino,Grupo E,Secundaria,No realizado,41,45,40
Masculino,Grupo C,Secundaria,No realizado,90,75,69
Masculino,Grupo B,"Licenciatura, Ingenieria",No realizado,59,54,51
Masculino,Grupo A,Secundaria,No realizado,51,31,36
Masculino,Grupo A,Secundaria,No realizado,45,47,49
Femenino,Grupo C,Maestria,Completado,54,64,67
Masculino,Grupo E,Secundaria,Completado,87,84,76
Femenino,Grupo C,Secundaria,No realizado,72,80,83
Masculino,Grupo B,Secundaria,Completado,94,86,87
Femenino,Grupo A,"Licenciatura, Ingenieria",No realizado,45,59,64
Masculino,Grupo D,"Licenciatura, Ingenieria",Completado,61,70,76
Femenino,Grupo B,Secundaria,No realizado,60,72,68
Femenino,Grupo C,Secundaria,No realizado,77,91,88
Femenino,Grupo A,Secundaria,Completado,85,90,92
Femenino,Grupo D,"Licenciatura, Ingenieria",No realizado,78,90,93
Masculino,Grupo E,"Educacion Superior, no titulado",Completado,49,52,51
Femenino,Grupo B,Secundaria,No realizado,71,87,82
Femenino,Grupo C,Secundaria,No realizado,48,58,52
Masculino,Grupo C,Secundaria,No realizado,62,67,58
Femenino,Grupo C,Preparatoria,Completado,56,68,70
Femenino,Grupo C,Secundaria,No realizado,65,69,76
Femenino,Grupo D,Secundaria,Completado,69,86,81
Masculino,Grupo B,Secundaria,No realizado,68,54,53
Femenino,Grupo A,"Educacion Superior, no titulado",No realizado,61,60,57
Femenino,Grupo C,"Licenciatura, Ingenieria",Completado,74,86,89
Masculino,Grupo A,"Licenciatura, Ingenieria",No realizado,64,60,58
Femenino,Grupo B,Secundaria,Completado,77,82,89
Masculino,Grupo B,"Educacion Superior, no titulado",No realizado,58,50,45
Femenino,Grupo C,Secundaria,Completado,60,64,74
Masculino,Grupo E,Secundaria,No realizado,73,64,57
Femenino,Grupo A,Secundaria,Completado,75,82,79
Masculino,Grupo B,Preparatoria,Completado,58,57,53
Femenino,Grupo C,Preparatoria,No realizado,66,77,73
Femenino,Grupo D,Secundaria,No realizado,39,52,46
Masculino,Grupo C,Secundaria,No realizado,64,58,51
Femenino,Grupo B,Secundaria,Completado,23,44,36
Masculino,Grupo B,"Educacion Superior, no titulado",Completado,74,77,76
Femenino,Grupo D,Secundaria,Completado,40,65,64
Masculino,Grupo E,Maestria,No realizado,90,85,84
Masculino,Grupo C,Maestria,Completado,91,85,85
Masculino,Grupo D,Secundaria,No realizado,64,54,50
Femenino,Grupo C,Secundaria,No realizado,59,72,68
Masculino,Grupo D,Preparatoria,No realizado,80,75,69
Masculino,Grupo C,Maestria,No realizado,71,67,67
Femenino,Grupo A,Secundaria,No realizado,61,68,63
Femenino,Grupo E,"Educacion Superior, no titulado",No realizado,87,85,93
Masculino,Grupo E,Secundaria,No realizado,82,67,61
Masculino,Grupo C,Secundaria,No realizado,62,64,55
Femenino,Grupo B,"Licenciatura, Ingenieria",No realizado,97,97,96
Masculino,Grupo B,"Educacion Superior, no titulado",No realizado,75,68,65
Femenino,Grupo C,"Licenciatura, Ingenieria",No realizado,65,79,81
Masculino,Grupo B,Secundaria,Completado,52,49,46
Masculino,Grupo C,Preparatoria,No realizado,87,73,72
Femenino,Grupo C,Preparatoria,No realizado,53,62,53
Femenino,Grupo E,Maestria,No realizado,81,86,87
Masculino,Grupo D,"Licenciatura, Ingenieria",Completado,39,42,38
Femenino,Grupo C,"Educacion Superior, no titulado",Completado,71,71,80
Masculino,Grupo C,Preparatoria,No realizado,97,93,91
Masculino,Grupo D,"Educacion Superior, no titulado",Completado,82,82,88
Masculino,Grupo C,Secundaria,No realizado,59,53,52
Masculino,Grupo B,Preparatoria,No realizado,61,42,41
Masculino,Grupo E,Preparatoria,Completado,78,74,72
Masculino,Grupo C,Preparatoria,No realizado,49,51,51
Masculino,Grupo B,Secundaria,No realizado,59,58,47
Femenino,Grupo C,"Educacion Superior, no titulado",Completado,70,72,76
Masculino,Grupo B,Preparatoria,Completado,82,84,78
Masculino,Grupo E,Preparatoria,No realizado,90,90,82
Femenino,Grupo C,"Licenciatura, Ingenieria",No realizado,43,62,61
Masculino,Grupo C,"Educacion Superior, no titulado",No realizado,80,64,66
Masculino,Grupo D,"Educacion Superior, no titulado",No realizado,81,82,84
Masculino,Grupo C,Secundaria,No realizado,57,61,54
Femenino,Grupo D,Secundaria,No realizado,59,72,80
Femenino,Grupo D,Preparatoria,No realizado,64,76,74
Masculino,Grupo C,"Licenciatura, Ingenieria",Completado,63,64,66
Femenino,Grupo E,"Licenciatura, Ingenieria",Completado,71,70,70
Femenino,Grupo B,Secundaria,No realizado,64,73,71
Masculino,Grupo D,"Licenciatura, Ingenieria",No realizado,55,46,44
Femenino,Grupo E,Preparatoria,No realizado,51,51,54
Femenino,Grupo C,Preparatoria,Completado,62,76,80
Femenino,Grupo E,Preparatoria,Completado,93,100,95
Masculino,Grupo C,Secundaria,No realizado,54,72,59
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,69,65,74
Masculino,Grupo D,Secundaria,No realizado,44,51,48
Femenino,Grupo E,"Educacion Superior, no titulado",Completado,86,85,91
Femenino,Grupo E,Preparatoria,No realizado,85,92,85
Femenino,Grupo A,Maestria,No realizado,50,67,73
Masculino,Grupo D,Secundaria,Completado,88,74,75
Femenino,Grupo E,Preparatoria,No realizado,59,62,69
Femenino,Grupo E,Secundaria,No realizado,32,34,38
Masculino,Grupo B,Secundaria,No realizado,36,29,27
Femenino,Grupo B,Secundaria,Completado,63,78,79
Masculino,Grupo D,Preparatoria,Completado,67,54,63
Femenino,Grupo D,Secundaria,Completado,65,78,82
Masculino,Grupo D,Maestria,No realizado,85,84,89
Femenino,Grupo C,Maestria,No realizado,73,78,74
Femenino,Grupo A,Secundaria,Completado,34,48,41
Femenino,Grupo D,"Licenciatura, Ingenieria",Completado,93,100,100
Femenino,Grupo D,Secundaria,No realizado,67,84,84
Masculino,Grupo D,"Educacion Superior, no titulado",No realizado,88,77,77
Masculino,Grupo B,Secundaria,No realizado,57,48,51
Femenino,Grupo D,"Educacion Superior, no titulado",Completado,79,84,91
Femenino,Grupo C,"Licenciatura, Ingenieria",No realizado,67,75,72
Masculino,Grupo E,"Licenciatura, Ingenieria",Completado,70,64,70
Masculino,Grupo D,"Licenciatura, Ingenieria",No realizado,50,42,48
Femenino,Grupo A,"Educacion Superior, no titulado",No realizado,69,84,82
Femenino,Grupo C,"Licenciatura, Ingenieria",Completado,52,61,66
Femenino,Grupo C,"Licenciatura, Ingenieria",Completado,47,62,66
Femenino,Grupo B,Preparatoria,No realizado,46,61,55
Femenino,Grupo E,"Educacion Superior, no titulado",No realizado,68,70,66
Masculino,Grupo E,"Licenciatura, Ingenieria",Completado,100,100,100
Femenino,Grupo C,Secundaria,No realizado,44,61,52
Femenino,Grupo C,Preparatoria,Completado,57,77,80
Masculino,Grupo B,"Educacion Superior, no titulado",Completado,91,96,91
Masculino,Grupo D,Secundaria,No realizado,69,70,67
Femenino,Grupo C,Secundaria,No realizado,35,53,46
Masculino,Grupo D,Secundaria,No realizado,72,66,66
Femenino,Grupo B,Preparatoria,No realizado,54,65,65
Masculino,Grupo D,Secundaria,No realizado,74,70,69
Masculino,Grupo E,Secundaria,Completado,74,64,60
Masculino,Grupo E,Preparatoria,No realizado,64,56,52
Femenino,Grupo D,Secundaria,Completado,65,61,71
Masculino,Grupo E,Preparatoria,Completado,46,43,44
Femenino,Grupo C,Secundaria,No realizado,48,56,51
Masculino,Grupo C,"Educacion Superior, no titulado",Completado,67,74,70
Masculino,Grupo D,"Educacion Superior, no titulado",No realizado,62,57,62
Masculino,Grupo D,Preparatoria,Completado,61,71,73
Masculino,Grupo C,"Licenciatura, Ingenieria",Completado,70,75,74
Masculino,Grupo C,Preparatoria,Completado,98,87,90
Masculino,Grupo D,"Educacion Superior, no titulado",No realizado,70,63,58
Masculino,Grupo A,Preparatoria,No realizado,67,57,53
Femenino,Grupo E,Secundaria,No realizado,57,58,57
Masculino,Grupo D,"Educacion Superior, no titulado",Completado,85,81,85
Masculino,Grupo D,Secundaria,Completado,77,68,69
Masculino,Grupo C,Maestria,Completado,72,66,72
Femenino,Grupo D,Maestria,No realizado,78,91,96
Masculino,Grupo C,Secundaria,No realizado,81,66,64
Masculino,Grupo A,Secundaria,Completado,61,62,61
Femenino,Grupo B,Secundaria,No realizado,58,68,61
Femenino,Grupo C,Preparatoria,No realizado,54,61,58
Masculino,Grupo B,Secundaria,No realizado,82,82,80
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,49,58,60
Masculino,Grupo B,Secundaria,Completado,49,50,52
Femenino,Grupo E,Secundaria,Completado,57,75,73
Masculino,Grupo E,Secundaria,No realizado,94,73,71
Femenino,Grupo D,"Educacion Superior, no titulado",Completado,75,77,83
Femenino,Grupo E,Secundaria,No realizado,74,74,72
Masculino,Grupo C,Secundaria,Completado,58,52,54
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,62,69,69
Masculino,Grupo E,Preparatoria,No realizado,72,57,62
Masculino,Grupo C,"Educacion Superior, no titulado",No realizado,84,87,81
Femenino,Grupo D,Maestria,No realizado,92,100,100
Femenino,Grupo D,Secundaria,No realizado,45,63,59
Masculino,Grupo C,Secundaria,No realizado,75,81,71
Femenino,Grupo A,"Educacion Superior, no titulado",No realizado,56,58,64
Femenino,Grupo D,Secundaria,No realizado,48,54,53
Femenino,Grupo E,Preparatoria,No realizado,100,100,100
Femenino,Grupo C,Secundaria,Completado,65,76,75
Masculino,Grupo D,"Educacion Superior, no titulado",No realizado,72,57,58
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,62,70,72
Masculino,Grupo A,Secundaria,Completado,66,68,64
Masculino,Grupo C,"Educacion Superior, no titulado",No realizado,63,63,60
Femenino,Grupo E,Preparatoria,No realizado,68,76,67
Femenino,Grupo B,"Licenciatura, Ingenieria",No realizado,75,84,80
Femenino,Grupo D,"Licenciatura, Ingenieria",No realizado,89,100,100
Masculino,Grupo C,Secundaria,Completado,78,72,69
Femenino,Grupo A,Secundaria,Completado,53,50,60
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,49,65,61
Femenino,Grupo A,"Educacion Superior, no titulado",No realizado,54,63,67
Femenino,Grupo C,"Educacion Superior, no titulado",Completado,64,82,77
Masculino,Grupo B,"Educacion Superior, no titulado",Completado,60,62,60
Masculino,Grupo C,Preparatoria,No realizado,62,65,58
Masculino,Grupo D,Secundaria,Completado,55,41,48
Femenino,Grupo C,Preparatoria,No realizado,91,95,94
Femenino,Grupo B,Secundaria,No realizado,8,24,23
Masculino,Grupo D,Secundaria,No realizado,81,78,78
Masculino,Grupo B,Secundaria,Completado,79,85,86
Femenino,Grupo A,"Educacion Superior, no titulado",Completado,78,87,91
Femenino,Grupo C,Secundaria,No realizado,74,75,82
Masculino,Grupo A,Secundaria,No realizado,57,51,54
Femenino,Grupo C,Preparatoria,No realizado,40,59,51
Masculino,Grupo E,Secundaria,Completado,81,75,76
Femenino,Grupo A,Secundaria,No realizado,44,45,45
Femenino,Grupo D,"Educacion Superior, no titulado",Completado,67,86,83
Masculino,Grupo E,Secundaria,Completado,86,81,75
Femenino,Grupo B,Secundaria,Completado,65,82,78
Femenino,Grupo D,Preparatoria,No realizado,55,76,76
Femenino,Grupo D,"Licenciatura, Ingenieria",No realizado,62,72,74
Masculino,Grupo A,Secundaria,No realizado,63,63,62
Femenino,Grupo E,Maestria,Completado,88,99,95
Masculino,Grupo C,Secundaria,No realizado,62,55,55
Femenino,Grupo C,Secundaria,Completado,59,71,65
Femenino,Grupo D,"Educacion Superior, no titulado",Completado,68,78,77
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,77,86,86